Rank,Name,Platform,Year,Genre,Publisher,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales,gamename,metaNote,metaNbVote,userNote,userNbVote,serie,samename,metaNoteQ,serieB
2875,Silent Hill 3,PS2,2003.0,Action,Konami Digital Entertainment,0.35,0.27,0.0,0.09,0.71,Silent Hill 3,85.0,41.0,8.6,588.0,Silent Hill,1,4,1
2876,Madden NFL 09,PSP,2008.0,Sports,Electronic Arts,0.65,0.0,0.0,0.06,0.71,Madden NFL 09,83.0,50.0,6.8,131.0,Madden NFL,1,4,1
2878,Yu-Gi-Oh! The Falsebound Kingdom,GC,2002.0,Strategy,Konami Digital Entertainment,0.49,0.13,0.07,0.02,0.71,Yu-Gi-Oh! The Falsebound Kingdom,44.0,15.0,7.3,53.0,,1,2,0
2879,LEGO Rock Band,Wii,2009.0,Misc,Warner Bros. Interactive Entertainment,0.42,0.22,0.0,0.07,0.71,LEGO Rock Band,75.0,36.0,7.7,20.0,Rock Band,1,4,1
2881,Spyro: Enter the Dragonfly,GC,2002.0,Platform,Universal Interactive,0.55,0.14,0.0,0.02,0.71,Spyro: Enter the Dragonfly,56.0,20.0,4.4,127.0,Spyro,1,3,1
2882,Scooby-Doo 2: Monsters Unleashed,GBA,2004.0,Action,THQ,0.51,0.19,0.0,0.01,0.71,Scooby-Doo 2: Monsters Unleashed,1.0,3.0,,,,1,1,0
2883,Power Rangers: Dino Thunder,PS2,2004.0,Action,THQ,0.35,0.27,0.0,0.09,0.71,Power Rangers: Dino Thunder,49.0,6.0,,,,1,2,0
2884,Rhythm Heaven: The Best+,3DS,2015.0,Misc,Nintendo,0.0,0.0,0.71,0.0,0.71,Rhythm Heaven,83.0,48.0,8.3,89.0,,1,4,0
2885,LEGO Racers,N64,1999.0,Racing,LEGO Media,0.51,0.18,0.0,0.01,0.71,LEGO Racers,0.0,4.0,8.4,39.0,,1,0,0
2887,Blast Corps,N64,1997.0,Action,Nintendo,0.39,0.09,0.17,0.06,0.71,Blast Corps,90.0,12.0,8.3,57.0,,1,4,0
2888,LEGO Harry Potter: Years 1-4,PSP,2010.0,Action,Warner Bros. Interactive Entertainment,0.14,0.37,0.0,0.19,0.71,LEGO Harry Potter: Years 1-4,79.0,15.0,7.6,119.0,Lego Harry Potter,1,4,1
2889,Tactics Ogre: Let Us Cling Together,SNES,1995.0,Role-Playing,Quest,0.0,0.0,0.71,0.0,0.71,Tactics Ogre: Let Us Cling Together,87.0,49.0,8.7,141.0,Ogre Battle,1,4,1
2890,"WarioWare, Inc.: Mega Party Game$",GC,2003.0,Puzzle,Nintendo,0.2,0.05,0.44,0.02,0.71,"WarioWare, Inc.: Mega Party Game$!",76.0,46.0,8.1,36.0,,1,4,0
2891,Football Manager 2014,PC,2013.0,Sports,Sega,0.0,0.6,0.0,0.1,0.71,Football Manager 2014,85.0,41.0,5.7,295.0,Football Manager,1,4,1
2892,Battle Arena Toshinden 2,PS,1995.0,Fighting,Sony Computer Entertainment,0.15,0.1,0.41,0.05,0.71,Battle Arena Toshinden 2,0.0,4.0,,,Battle Arena Toshinden,1,0,1
2893,WWE SmackDown vs. Raw 2011,PSP,2010.0,Fighting,THQ,0.22,0.31,0.0,0.17,0.71,WWE SmackDown vs. Raw 2011,75.0,49.0,7.7,60.0,WWE SmackDown! vs. Raw,1,4,1
2894,Jeopardy!,PS,1997.0,Misc,Hasbro Interactive,0.39,0.27,0.0,0.05,0.71,Jeopardy!,1.0,3.0,,,,1,1,0
2895,South Park,PS,1998.0,Shooter,Acclaim Entertainment,0.39,0.27,0.0,0.05,0.71,South Park: The Fractured But Whole,79.0,74.0,7.8,533.0,,1,4,0
2896,Metal Gear Solid V: The Phantom Pain,XOne,2015.0,Action,Konami Digital Entertainment,0.37,0.26,0.01,0.06,0.71,Metal Gear Solid V: The Phantom Pain,93.0,86.0,8.2,5894.0,,1,4,0
2897,Two Worlds,X360,2007.0,Role-Playing,SouthPeak Games,0.41,0.23,0.0,0.07,0.71,Two Worlds,65.0,23.0,6.8,260.0,,1,3,0
2899,NCAA Football 09,X360,2008.0,Sports,Electronic Arts,0.65,0.0,0.0,0.05,0.71,NCAA Football 09,81.0,20.0,7.2,26.0,NCAA Football,1,4,1
2900,NBA Live 09,X360,2008.0,Sports,Electronic Arts,0.5,0.14,0.0,0.07,0.71,NBA Live 09,75.0,32.0,7.8,15.0,NBA Live,1,4,1
2901,Ratchet & Clank: Into the Nexus,PS3,2013.0,Shooter,Sony Computer Entertainment,0.3,0.29,0.0,0.11,0.71,Ratchet & Clank: Into the Nexus,76.0,60.0,8.2,307.0,Ratchet & Clank,1,4,1
2902,Spider-Man 2,PSP,2005.0,Action,Activision,0.35,0.21,0.0,0.14,0.71,Spider-Man 2,80.0,50.0,8.7,234.0,,1,4,0
2903,2014 FIFA World Cup Brazil,PS3,2014.0,Sports,Electronic Arts,0.15,0.39,0.01,0.16,0.71,2014 FIFA World Cup Brazil,73.0,33.0,4.6,97.0,,1,3,0
2905,NHL 12,X360,2011.0,Sports,Electronic Arts,0.55,0.1,0.0,0.05,0.7,NHL 12,86.0,33.0,7.5,59.0,NHL,1,4,1
2906,Tony Hawk's Underground,GC,2003.0,Sports,Activision,0.54,0.14,0.0,0.02,0.7,Tony Hawk's Underground,90.0,38.0,8.7,159.0,Tony Hawk's,1,4,1
2907,Infinite Undiscovery,X360,2008.0,Role-Playing,Square Enix,0.34,0.18,0.12,0.06,0.7,Infinite Undiscovery,68.0,60.0,7.1,168.0,,1,3,0
2909,Command & Conquer: Red Alert Retaliation,PS,1998.0,Strategy,Virgin Interactive,0.39,0.27,0.0,0.05,0.7,Command & Conquer: Red Alert,90.0,7.0,8.7,379.0,Command & Conquer,1,4,1
2910,The Sims 2: Apartment Pets,DS,2008.0,Simulation,Electronic Arts,0.32,0.31,0.0,0.07,0.7,The Sims 2: Apartment Pets,50.0,12.0,,,The Sims,1,3,1
2911,Star Wars: Obi-Wan,XB,2001.0,Action,Activision,0.52,0.16,0.0,0.02,0.7,Star Wars: Obi-Wan,58.0,28.0,5.8,19.0,,1,3,0
2912,NCAA Football 08,X360,2007.0,Sports,Electronic Arts,0.65,0.0,0.0,0.05,0.7,NCAA Football 08,81.0,30.0,7.8,46.0,NCAA Football,1,4,1
2914,Lalaloopsy,DS,2011.0,Simulation,Activision,0.54,0.1,0.0,0.06,0.7,Lalaloopsy,0.0,4.0,,,,1,0,0
2915,Madden NFL 2005,GC,2004.0,Sports,Electronic Arts,0.54,0.14,0.0,0.02,0.7,Madden NFL 2005,91.0,30.0,8.0,84.0,Madden NFL,1,4,1
2916,F-14 Tomcat,GBA,2001.0,Action,Majesco Entertainment,0.5,0.19,0.0,0.01,0.7,F-14 Tomcat,67.0,8.0,,,,1,3,0
2918,NCAA Football 98,PS,1997.0,Sports,Electronic Arts,0.39,0.27,0.0,0.05,0.7,NCAA Football 98,0.0,4.0,,,NCAA Football,1,0,1
2919,Jade Empire,XB,2005.0,Role-Playing,Microsoft Game Studios,0.48,0.19,0.0,0.03,0.7,Jade Empire,89.0,84.0,8.4,139.0,,1,4,0
2920,"Transformers: Revenge of the Fallen (XBox 360, PS3, & PC Versions)",PS3,2009.0,Shooter,Activision,0.28,0.3,0.0,0.12,0.7,Transformers: Revenge of the Fallen,63.0,41.0,7.1,28.0,,1,3,0
2921,The Sims 3,DS,2010.0,Simulation,Electronic Arts,0.39,0.25,0.0,0.06,0.7,The Sims 3,86.0,75.0,7.8,1159.0,,1,4,0
2923,Prince of Persia: The Forgotten Sands,PS3,2010.0,Action,Ubisoft,0.19,0.36,0.01,0.13,0.7,Prince of Persia: The Forgotten Sands,75.0,49.0,7.4,159.0,Prince of Persia,1,4,1
2925,Advance Wars,GBA,2001.0,Strategy,Nintendo,0.5,0.19,0.0,0.01,0.7,Advance Wars,92.0,28.0,8.9,136.0,,1,4,0
2926,Hannah Montana: The Movie,DS,2009.0,Adventure,Disney Interactive Studios,0.38,0.25,0.0,0.07,0.7,Hannah Montana: The Movie,25.0,4.0,4.0,50.0,,1,2,0
2927,World of Zoo,DS,2009.0,Simulation,THQ,0.43,0.2,0.0,0.06,0.7,World of Zoo,3.0,1.0,,,,1,1,0
2928,Ape Escape: On the Loose,PSP,2005.0,Platform,Sony Computer Entertainment,0.52,0.01,0.12,0.05,0.7,Ape Escape: On the Loose,66.0,35.0,7.0,22.0,Ape Escape,1,3,1
2929,NASCAR 2001,PS2,2000.0,Racing,Electronic Arts,0.34,0.27,0.0,0.09,0.7,NASCAR 2001,66.0,16.0,6.5,10.0,NASCAR The Game,1,3,1
2930,IL-2 Sturmovik: Birds of Prey,PS3,2009.0,Simulation,505 Games,0.34,0.26,0.0,0.1,0.7,IL-2 Sturmovik: Birds of Prey,81.0,28.0,7.4,23.0,IL-2 Sturmovik,1,4,1
2931,Book of Spells,PS3,2012.0,Action,Sony Computer Entertainment,0.13,0.4,0.0,0.16,0.7,Wonderbook: Book of Spells,72.0,39.0,6.6,39.0,,1,3,0
2933,Mafia,PS2,2004.0,Action,Illusion Softworks,0.34,0.27,0.0,0.09,0.7,Mafia,88.0,27.0,9.2,1844.0,,1,4,0
2934,Mobile Suit Gundam: Journey to Jaburo,PS2,2000.0,Simulation,Namco Bandai Games,0.16,0.13,0.36,0.04,0.7,Mobile Suit Gundam: Journey to Jaburo,58.0,16.0,8.2,47.0,,1,3,0
2935,Metal Gear Solid V: The Phantom Pain,PS3,2015.0,Action,Konami Digital Entertainment,0.21,0.18,0.22,0.08,0.7,Metal Gear Solid V: The Phantom Pain,93.0,86.0,8.2,5894.0,,1,4,0
2936,TimeSplitters 2,PS2,2002.0,Shooter,Eidos Interactive,0.34,0.27,0.0,0.09,0.7,TimeSplitters 2,90.0,33.0,8.7,167.0,TimeSplitters,1,4,1
2937,MotionSports,X360,2010.0,Sports,Ubisoft,0.38,0.26,0.0,0.06,0.7,MotionSports,40.0,30.0,4.0,10.0,,1,2,0
2938,MLB 08: The Show,PS3,2008.0,Sports,Sony Computer Entertainment,0.64,0.0,0.0,0.05,0.7,MLB 08: The Show,85.0,33.0,8.7,76.0,MLB: The Show,1,4,1
2939,Classic NES Series: Zelda II: The Adventure of Link,GBA,2004.0,Adventure,Nintendo,0.37,0.14,0.17,0.01,0.7,Classic NES Series: Zelda II: The Adventure of Link,73.0,8.0,7.3,67.0,The Legend of Zelda,1,3,1
2941,Disney's Chicken Little,GBA,2005.0,Platform,Disney Interactive Studios,0.5,0.18,0.0,0.01,0.7,Disney's Chicken Little,71.0,5.0,,,,1,3,0
2942,King Kong,2600,1981.0,Action,Tigervision,0.65,0.04,0.0,0.01,0.69,Peter Jackson's King Kong: The Official Game of the Movie,82.0,41.0,8.4,106.0,,1,4,0
2943,WWE 2K15,X360,2014.0,Sports,Take-Two Interactive,0.38,0.26,0.0,0.06,0.69,WWE 2K15,62.0,44.0,5.2,180.0,WWE 2K,1,3,1
2944,The LEGO Movie Videogame,3DS,2014.0,Action,Warner Bros. Interactive Entertainment,0.28,0.31,0.05,0.05,0.69,The LEGO Movie Videogame,71.0,31.0,7.1,111.0,,1,3,0
2945,X-Men Origins: Wolverine - Uncaged Edition,X360,2009.0,Action,Activision,0.42,0.21,0.0,0.06,0.69,X-Men Origins: Wolverine,77.0,22.0,7.9,192.0,,1,4,0
2946,Metal Gear Solid: Portable Ops Plus,PSP,2007.0,Action,Konami Digital Entertainment,0.26,0.01,0.26,0.17,0.69,Metal Gear Solid: Portable Ops Plus,65.0,19.0,7.7,32.0,Metal Gear,1,3,1
2947,Disney Tangled,Wii,2010.0,Action,Disney Interactive Studios,0.47,0.17,0.0,0.05,0.69,Disney Tangled: The Video Game,63.0,6.0,,,,1,3,0
2948,Shrek the Third,X360,2007.0,Action,Activision,0.54,0.1,0.0,0.06,0.69,Shrek the Third,60.0,10.0,5.6,25.0,,1,3,0
2949,Test Drive Unlimited 2,X360,,Racing,Atari,0.3,0.32,0.0,0.07,0.69,Test Drive Unlimited 2,72.0,19.0,5.8,279.0,Test Drive,1,3,1
2950,Moto Racer 2,PS,1997.0,Racing,Electronic Arts,0.39,0.26,0.0,0.05,0.69,Moto Racer 2,0.0,4.0,,,Moto Racer,1,0,1
2951,Halo 2 Multiplayer Map Pack,XB,2005.0,Shooter,Microsoft Game Studios,0.54,0.13,0.0,0.02,0.69,Halo 2 Multiplayer Map Pack,89.0,37.0,7.9,42.0,,1,4,0
2952,Minecraft: Story Mode,PS3,2015.0,Adventure,Mojang,0.25,0.33,0.0,0.11,0.69,Minecraft: Story Mode - A Telltale Games Series - The Complete Adventure,67.0,5.0,6.6,68.0,Minecraft,1,3,1
2953,Mortal Kombat: Shaolin Monks,PS2,2005.0,Action,Midway Games,0.58,0.02,0.0,0.09,0.69,Mortal Kombat: Shaolin Monks,77.0,41.0,8.9,169.0,Mortal Kombat,1,4,1
2954,MX vs. ATV Unleashed: On the Edge,PSP,2006.0,Racing,THQ,0.64,0.0,0.0,0.05,0.69,MX vs. ATV Unleashed: On the Edge,68.0,22.0,,,MX vs. ATV,1,3,1
2956,Mario Pinball Land,GBA,2004.0,Misc,Nintendo,0.5,0.18,0.0,0.01,0.69,Mario Pinball Land,62.0,35.0,4.8,15.0,,1,3,0
2957,Mappy,NES,1984.0,Platform,Namco Bandai Games,0.0,0.0,0.69,0.0,0.69,Mappy (ARCADE),0.0,4.0,,,,1,0,0
2959,Dragon Ball Z: Budokai,GC,2003.0,Fighting,Atari,0.53,0.14,0.0,0.02,0.69,Dragon Ball Z: Budokai,67.0,28.0,7.8,95.0,,1,3,0
2961,The Sly Collection,PS3,2010.0,Platform,Sony Computer Entertainment,0.52,0.09,0.01,0.07,0.69,The Sly Collection,85.0,46.0,8.8,218.0,Sly Cooper,1,4,1
2962,One Piece: Pirate Warriors 2,PS3,2013.0,Action,Namco Bandai Games,0.0,0.2,0.42,0.07,0.69,One Piece: Pirate Warriors 2,71.0,35.0,7.8,73.0,One Piece: Pirate Warriors,1,3,1
2963,Assassin's Creed IV: Black Flag,PC,2013.0,Action,Ubisoft,0.22,0.38,0.0,0.1,0.69,Assassin's Creed IV: Black Flag,83.0,29.0,7.9,2384.0,,1,4,0
2964,Harry Potter and the Chamber of Secrets,GC,2002.0,Action,Electronic Arts,0.53,0.14,0.0,0.02,0.69,Harry Potter and the Chamber of Secrets,77.0,8.0,8.4,200.0,,1,4,0
2966,The Lord of the Rings: The Return of the King,GC,2003.0,Action,Electronic Arts,0.53,0.14,0.0,0.02,0.69,The Lord of the Rings: The Return of the King,85.0,31.0,8.6,173.0,,1,4,0
2968,MX vs. ATV Untamed,X360,2007.0,Racing,THQ,0.55,0.08,0.0,0.06,0.69,MX vs. ATV Untamed,70.0,43.0,6.9,19.0,MX vs. ATV,1,3,1
2969,The Last Remnant,X360,2008.0,Role-Playing,Square Enix,0.25,0.2,0.18,0.06,0.69,The Last Remnant Remastered,70.0,19.0,7.3,28.0,,1,3,0
2970,Frozen: Olaf's Quest,DS,2013.0,Platform,Disney Interactive Studios,0.28,0.35,0.0,0.06,0.69,Disney Frozen: Olaf's Quest,2.0,2.0,5.2,10.0,,1,1,0
2972,Baldur's Gate: Dark Alliance II,PS2,2004.0,Role-Playing,Interplay,0.34,0.26,0.0,0.09,0.68,Baldur's Gate: Dark Alliance II,78.0,44.0,8.3,65.0,Baldur's Gate,1,4,1
2973,Shark Tale,GBA,2004.0,Action,Activision,0.49,0.18,0.0,0.01,0.68,Shark Tale,69.0,30.0,,,,1,3,0
2975,Kirby's Dream Collection: Special Edition,Wii,2012.0,Action,Nintendo,0.34,0.0,0.33,0.02,0.68,Kirby's Dream Collection: Special Edition,82.0,6.0,8.8,44.0,Kirby,1,4,1
2978,The Last Story,Wii,2011.0,Role-Playing,Nintendo,0.32,0.13,0.18,0.04,0.68,The Last Story,80.0,61.0,8.5,227.0,,1,4,0
2979,NBA Street Vol. 2,XB,2003.0,Sports,Electronic Arts,0.62,0.04,0.0,0.02,0.68,NBA Street Vol. 2,90.0,31.0,8.7,84.0,NBA Street,1,4,1
2980,Iron Man,PS3,2008.0,Action,Sega,0.32,0.25,0.0,0.11,0.68,Iron Man,32.0,10.0,2.7,71.0,,1,2,0
2981,Disney Infinity 3.0,PS4,2015.0,Action,Disney Interactive Studios,0.21,0.36,0.0,0.11,0.68,Disney Infinity 3.0 Edition,80.0,53.0,6.0,84.0,Disney Infinity,1,4,1
2982,Spider-Man 3,PS3,2007.0,Platform,Activision,0.26,0.29,0.02,0.12,0.68,Spider-Man 3,60.0,33.0,6.7,60.0,,1,3,0
2983,NCAA Football 2005,XB,2004.0,Sports,Electronic Arts,0.63,0.02,0.0,0.03,0.68,NCAA Football 2005,88.0,29.0,8.8,36.0,NCAA Football,1,4,1
2984,Mortal Kombat Mythologies: Sub-Zero,PS,1997.0,Fighting,GT Interactive,0.38,0.26,0.0,0.04,0.68,Mortal Kombat Mythologies: Sub-Zero,,,,,Mortal Kombat,1,4,1
2985,Rayman Legends,WiiU,2013.0,Platform,Ubisoft,0.26,0.33,0.03,0.06,0.68,Rayman Legends,90.0,16.0,8.4,962.0,,1,4,0
2986,Naruto: Clash of Ninja,GC,2003.0,Fighting,Tomy Corporation,0.53,0.14,0.0,0.02,0.68,Naruto: Clash of Ninja 2,74.0,22.0,8.7,43.0,,1,3,0
2987,Prince of Persia: The Two Thrones,PS2,2005.0,Action,Ubisoft,0.57,0.02,0.0,0.09,0.68,Prince of Persia: The Two Thrones,85.0,46.0,8.6,183.0,Prince of Persia,1,4,1
2988,Hot Shots Golf: Open Tee 2,PSP,2007.0,Sports,Sony Computer Entertainment,0.21,0.11,0.28,0.08,0.68,Hot Shots Golf: Open Tee 2,82.0,42.0,8.1,14.0,Everybody's Golf,1,4,1
2989,Metro: Last Light,PS4,2014.0,Action,Deep Silver,0.22,0.3,0.04,0.12,0.68,Metro: Last Light,82.0,71.0,8.5,3187.0,Metro,1,4,1
2990,Fossil Fighters: Champions,DS,2010.0,Role-Playing,Nintendo,0.32,0.0,0.34,0.02,0.68,Fossil Fighters: Champions,68.0,8.0,7.9,16.0,Fossil Fighters,1,3,1
2991,Mercenaries: Playground of Destruction,XB,2005.0,Action,LucasArts,0.54,0.11,0.0,0.03,0.68,Mercenaries,86.0,65.0,8.8,58.0,Mercenaries,1,4,1
2994,Bushido Blade 2,PS,1998.0,Fighting,SquareSoft,0.25,0.17,0.22,0.04,0.68,Bushido Blade,83.0,13.0,8.4,31.0,,1,4,0
2995,Suikoden II,PS,1998.0,Role-Playing,Konami Digital Entertainment,0.15,0.1,0.38,0.04,0.68,Suikoden II,82.0,8.0,9.2,282.0,Suikoden,1,4,1
2996,Need for Speed (2015),XOne,2015.0,Racing,Electronic Arts,0.3,0.33,0.0,0.06,0.68,Need for Speed,66.0,69.0,6.9,1292.0,Need for Speed,1,3,1
2998,FIFA Soccer 06,XB,2005.0,Sports,Electronic Arts,0.29,0.38,0.0,0.01,0.68,FIFA Soccer 06,80.0,32.0,7.8,52.0,FIFA,1,4,1
3000,Red Steel,Wii,2006.0,Shooter,Ubisoft,0.55,0.04,0.04,0.05,0.68,Red Steel,63.0,54.0,6.7,129.0,,1,3,0
3001,Fight Night 2004,XB,2004.0,Fighting,Electronic Arts,0.51,0.15,0.0,0.02,0.68,Fight Night 2004,85.0,43.0,8.7,27.0,Fight Night,1,4,1
3002,Tourist Trophy: The Real Riding Simulator,PS2,2006.0,Racing,Sony Computer Entertainment,0.28,0.22,0.11,0.07,0.68,Tourist Trophy,74.0,56.0,8.5,23.0,Gran Turismo,1,3,1
3003,Mass Effect,PC,2008.0,Role-Playing,Electronic Arts,0.0,0.59,0.0,0.09,0.68,Mass Effect Legendary Edition,86.0,27.0,5.4,341.0,,1,4,0
3004,.hack//Mutation Part 2,PS2,2002.0,Role-Playing,Atari,0.23,0.18,0.2,0.06,0.68,.hack//Mutation Part 2,76.0,24.0,8.5,81.0,.hack,1,4,1
3005,Country Dance,Wii,2011.0,Misc,Funbox Media,0.59,0.04,0.0,0.04,0.68,Country Dance,0.0,4.0,,,,1,0,0
3006,Turok,PS3,2008.0,Action,Touchstone,0.35,0.22,0.01,0.1,0.68,Turok,67.0,38.0,6.0,47.0,,1,3,0
3007,Midway Arcade Treasures 2,PS2,2004.0,Misc,Midway Games,0.33,0.26,0.0,0.09,0.68,Midway Arcade Treasures 2,74.0,21.0,,,,1,3,0
3008,100 Classic Books,DS,2008.0,Misc,Nintendo,0.13,0.52,0.0,0.02,0.67,100 Classic Books,70.0,7.0,6.5,14.0,,1,3,0
3009,Unreal Tournament III,PS3,2007.0,Shooter,Midway Games,0.33,0.24,0.0,0.11,0.67,Unreal Tournament III,83.0,41.0,8.0,573.0,Unreal,1,4,1
3010,Final Fantasy Crystal Chronicles: Ring of Fates,DS,2007.0,Role-Playing,Square Enix,0.22,0.01,0.42,0.02,0.67,Final Fantasy Crystal Chronicles: Ring of Fates,77.0,41.0,7.4,29.0,Final Fantasy,1,4,1
3011,Return to Castle Wolfenstein: Tides of War,XB,2003.0,Shooter,Activision,0.49,0.16,0.0,0.02,0.67,Return to Castle Wolfenstein: Tides of War,84.0,38.0,8.1,37.0,Wolfenstein,1,4,1
3013,Lollipop Chainsaw,PS3,2012.0,Action,Warner Bros. Interactive Entertainment,0.26,0.21,0.11,0.09,0.67,Lollipop Chainsaw,70.0,64.0,7.0,281.0,,1,3,0
3014,The Darkness,PS3,2007.0,Shooter,Take-Two Interactive,0.2,0.34,0.0,0.13,0.67,The Darkness,82.0,63.0,8.1,233.0,,1,4,0
3016,Club Penguin: Elite Penguin Force - Herbert's Revenge,DS,2010.0,Adventure,Disney Interactive Studios,0.4,0.22,0.0,0.06,0.67,Disney Club Penguin: Elite Penguin Force - Herbert's Revenge,1.0,3.0,7.1,13.0,Club Penguin,1,1,1
3018,Blazing Angels: Squadrons of WWII,PS3,2006.0,Simulation,Ubisoft,0.35,0.22,0.0,0.1,0.67,Blazing Angels: Squadrons of WWII,66.0,58.0,7.9,56.0,Blazing Angels,1,3,1
3019,Fight Night Round 2004,XB,2004.0,Fighting,Electronic Arts,0.46,0.18,0.0,0.03,0.67,Fight Night Round 2,88.0,37.0,8.8,40.0,Fight Night,1,4,1
3020,Wolfenstein: The New Order,XOne,2014.0,Shooter,Bethesda Softworks,0.33,0.28,0.0,0.06,0.67,Wolfenstein: The New Order,81.0,23.0,8.1,2165.0,Wolfenstein,1,4,1
3023,Spice World,PS,1998.0,Action,Sony Computer Entertainment,0.37,0.25,0.0,0.04,0.67,Spice World,,,,,,1,4,0
3024,Star Wars: Republic Commando,XB,2005.0,Shooter,Activision,0.48,0.17,0.0,0.02,0.67,Star Wars: Republic Commando,70.0,16.0,,,,1,3,0
3025,Armored Core 3,PS2,2002.0,Simulation,Metro 3D,0.22,0.17,0.23,0.06,0.67,Armored Core 3,74.0,23.0,8.6,38.0,Armored Core,1,3,1
3028,The Witcher 3: Wild Hunt,PC,2015.0,Role-Playing,Namco Bandai Games,0.2,0.42,0.0,0.05,0.67,The Witcher 3: Wild Hunt,93.0,32.0,9.4,19814.0,,1,4,0
3030,The LEGO Movie Videogame,PS4,2014.0,Action,Warner Bros. Interactive Entertainment,0.24,0.31,0.01,0.11,0.67,The LEGO Movie Videogame,71.0,31.0,7.1,111.0,,1,3,0
3031,Ratatouille,PSP,2007.0,Action,THQ,0.22,0.28,0.0,0.16,0.67,Disney/Pixar Ratatouille,65.0,9.0,8.0,35.0,,1,3,0
3034,Summer Sports: Paradise Island (Others sales),Wii,2008.0,Sports,Ubisoft,0.0,0.66,0.0,0.01,0.67,Summer Sports: Paradise Island,46.0,7.0,,,,1,2,0
3035,Castlevania: Lords of Shadow,X360,2010.0,Action,Konami Digital Entertainment,0.42,0.18,0.01,0.05,0.67,Castlevania: Lords of Shadow,85.0,62.0,8.1,565.0,Castlevania,1,4,1
3036,BioShock Infinite,PC,2013.0,Shooter,Take-Two Interactive,0.28,0.3,0.0,0.08,0.67,BioShock Infinite,94.0,68.0,8.6,9185.0,,1,4,0
3037,Minecraft: Story Mode,PS4,2015.0,Adventure,Mojang,0.23,0.33,0.0,0.11,0.67,Minecraft: Story Mode - A Telltale Games Series - The Complete Adventure,67.0,5.0,6.6,68.0,Minecraft,1,3,1
3038,TV Show King Party,Wii,2008.0,Puzzle,Ubisoft,0.18,0.41,0.0,0.08,0.67,TV Show King Party,3.0,1.0,,,,1,1,0
3039,Crafting Mama,DS,2010.0,Simulation,505 Games,0.4,0.21,0.01,0.05,0.67,Crafting Mama,2.0,2.0,,,Cooking Mama,1,1,1
3040,007: Quantum of Solace,Wii,2008.0,Action,Activision,0.3,0.29,0.01,0.07,0.67,007: Quantum of Solace,70.0,18.0,6.3,68.0,,1,3,0
3041,Rock Band 3,Wii,2010.0,Misc,MTV Games,0.56,0.06,0.0,0.05,0.67,Rock Band 3,93.0,57.0,8.0,148.0,,1,4,0
3042,Command & Conquer: Red Alert 3,PC,2008.0,Strategy,Electronic Arts,0.01,0.64,0.0,0.02,0.67,Command & Conquer: Red Alert 3,82.0,55.0,6.9,561.0,Command & Conquer: Red Alert,1,4,1
3047,Phoenix Wright: Ace Attorney - Trials and Tribulations,DS,2007.0,Adventure,Capcom,0.33,0.05,0.25,0.04,0.67,Phoenix Wright: Ace Attorney - Trials and Tribulations,81.0,45.0,9.0,206.0,Ace Attorney,1,4,1
3048,NHL 13,X360,2012.0,Sports,Electronic Arts,0.51,0.11,0.0,0.05,0.67,NHL 13,84.0,22.0,6.8,67.0,NHL,1,4,1
3049,Borderlands: The Pre-Sequel,PS3,2014.0,Shooter,Take-Two Interactive,0.25,0.26,0.05,0.11,0.67,Borderlands: The Pre-Sequel,75.0,55.0,6.4,954.0,Borderlands,1,4,1
3050,The Sims 3: High-End Loft Stuff,PC,2010.0,Simulation,Electronic Arts,0.01,0.53,0.0,0.12,0.67,The Sims 3: High-End Loft Stuff,3.0,1.0,6.3,19.0,,1,1,0
3051,"The Chronicles of Narnia: The Lion, The Witch and The Wardrobe",GBA,,Action,Disney Interactive Studios,0.48,0.18,0.0,0.01,0.67,"The Chronicles of Narnia: The Lion, The Witch and The Wardrobe",68.0,36.0,8.2,23.0,,1,3,0
3053,Pro Pinball: Big Race USA,PS,1999.0,Simulation,Take-Two Interactive,0.37,0.25,0.0,0.04,0.66,Pro Pinball: Big Race USA,0.0,4.0,,,Pro Pinball,1,0,1
3054,NFL Street,XB,2004.0,Sports,Electronic Arts,0.49,0.15,0.0,0.02,0.66,NFL Street,80.0,36.0,8.8,50.0,NFL Street,1,4,1
3055,Shaun White Snowboarding,PS3,2008.0,Sports,Ubisoft,0.31,0.24,0.01,0.1,0.66,Shaun White Snowboarding,63.0,30.0,6.3,27.0,,1,3,0
3056,The LEGO Movie Videogame,WiiU,2014.0,Action,Warner Bros. Interactive Entertainment,0.35,0.23,0.03,0.06,0.66,The LEGO Movie Videogame,71.0,31.0,7.1,111.0,,1,3,0
3057,Tony Hawk's Proving Ground,PS2,2007.0,Sports,Activision,0.55,0.02,0.0,0.09,0.66,Tony Hawk's Proving Ground,73.0,36.0,6.5,22.0,Tony Hawk's,1,3,1
3058,MLB 2004,PS2,2003.0,Sports,Sony Computer Entertainment,0.32,0.25,0.0,0.08,0.66,MLB 2004,61.0,21.0,,,,1,3,0
3060,Tiger Woods PGA Tour 2000,PS,1998.0,Sports,Electronic Arts,0.37,0.25,0.0,0.04,0.66,Tiger Woods PGA Tour 2000,0.0,4.0,,,PGA Tour,1,0,1
3061,Darkstone,PS,2001.0,Role-Playing,Electronic Arts,0.37,0.25,0.0,0.04,0.66,Darkstone,58.0,10.0,7.6,22.0,,1,3,0
