Rank,Name,Platform,Year,Genre,Publisher,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales,gamename,metaNote,metaNbVote,userNote,userNbVote,serie,samename,metaNoteQ,serieB
182,Diablo III,PC,2012.0,Role-Playing,Activision,2.43,2.15,0.0,0.62,5.2,Diablo III,88.0,86.0,4.1,9878.0,,1,4,0
183,Super Mario Bros. 3,GBA,2003.0,Platform,Nintendo,2.93,1.25,0.83,0.2,5.2,Super Mario Advance 4: Super Mario Bros. 3,94.0,25.0,8.9,223.0,Mario Series,1,4,1
184,New Super Mario Bros. U,WiiU,2012.0,Platform,Nintendo,2.32,1.3,1.27,0.31,5.19,New Super Mario Bros. U Deluxe,80.0,70.0,7.0,306.0,New Super Mario Bros series,1,4,1
186,FIFA Soccer 13,X360,2012.0,Action,Electronic Arts,1.08,3.48,0.03,0.58,5.18,FIFA Soccer 13,88.0,37.0,6.6,390.0,FIFA,1,4,1
187,The Legend of Zelda: Phantom Hourglass,DS,2007.0,Action,Nintendo,1.9,1.83,0.95,0.49,5.17,The Legend of Zelda: Phantom Hourglass,90.0,57.0,8.0,564.0,The Legend of Zelda,1,4,1
188,Donkey Kong Country 2: Diddy's Kong Quest,SNES,1995.0,Platform,Nintendo,2.1,0.74,2.2,0.11,5.15,Donkey Kong Country 2: Diddy's Kong Quest,0.0,4.0,8.8,68.0,Donkey Kong,1,0,1
189,Tomodachi Life,3DS,2013.0,Simulation,Nintendo,0.96,2.02,1.89,0.28,5.15,Tomodachi Life,71.0,52.0,7.7,225.0,,1,3,0
190,Mario & Sonic at the Olympic Games,DS,2008.0,Sports,Sega,1.64,2.48,0.44,0.58,5.14,Mario & Sonic at the Olympic Games Tokyo 2020,69.0,76.0,6.9,153.0,,1,3,0
193,Fable III,X360,2010.0,Role-Playing,Microsoft Game Studios,3.59,1.11,0.05,0.38,5.13,Fable III,80.0,88.0,6.6,693.0,Fable,1,4,1
194,Call of Duty: Advanced Warfare,XOne,2014.0,Shooter,Activision,3.21,1.53,0.01,0.38,5.13,Call of Duty: Advanced Warfare,83.0,39.0,5.8,1684.0,Call of Duty,1,4,1
195,Microsoft Flight Simulator,PC,1996.0,Simulation,Microsoft Game Studios,3.22,1.69,0.0,0.2,5.12,Microsoft Flight Simulator,91.0,66.0,,,,1,4,0
196,Guitar Hero II,PS2,2006.0,Misc,RedOctane,3.81,0.63,0.0,0.68,5.12,Guitar Hero II,92.0,69.0,8.5,156.0,Guitar Hero,1,4,1
197,Resident Evil 5,PS3,2009.0,Action,Capcom,1.96,1.43,1.08,0.65,5.11,Resident Evil 5,69.0,14.0,7.4,339.0,Resident Evil,1,3,1
198,Grand Theft Auto V,XOne,2014.0,Action,Take-Two Interactive,2.66,2.01,0.0,0.41,5.08,Grand Theft Auto V,97.0,66.0,8.4,6662.0,,1,4,0
199,Grand Theft Auto: Vice City Stories,PSP,2006.0,Action,Take-Two Interactive,1.7,2.02,0.16,1.21,5.08,Grand Theft Auto: Vice City Stories,86.0,50.0,8.2,261.0,Grand Theft Auto,1,4,1
200,FIFA Soccer 11,PS3,2010.0,Sports,Electronic Arts,0.6,3.29,0.06,1.13,5.08,FIFA Soccer 11,89.0,51.0,8.1,253.0,FIFA,1,4,1
201,Super Mario Bros.,GB,1999.0,Platform,Nintendo,3.4,1.3,0.15,0.22,5.07,Super Mario Bros. 35,75.0,29.0,7.4,74.0,,1,4,0
202,Resident Evil,PS,1996.0,Action,Virgin Interactive,2.05,1.16,1.11,0.73,5.05,Resident Evil Village,84.0,106.0,8.5,1649.0,,1,4,0
203,Tony Hawk's Pro Skater,PS,1999.0,Sports,Activision,3.42,1.38,0.02,0.2,5.02,Tony Hawk's Pro Skater 1 + 2,89.0,74.0,8.8,515.0,"Tony Hawk's Skate Jam, Underground",1,4,1
204,Super Smash Bros. for Wii U and 3DS,WiiU,2014.0,Fighting,Nintendo,2.59,1.06,0.8,0.57,5.02,Super Smash Bros. for Wii U,92.0,77.0,8.9,2059.0,,1,4,0
205,Warzone 2100,PS,1999.0,Strategy,Eidos Interactive,2.79,1.89,0.0,0.33,5.01,Warzone 2100,0.0,4.0,8.6,28.0,,1,0,0
207,Link's Crossbow Training,Wii,2007.0,Shooter,Nintendo,3.06,1.18,0.29,0.46,5.0,Link's Crossbow Training,68.0,34.0,7.2,52.0,The Legend of Zelda,1,3,1
208,Guitar Hero III: Legends of Rock,PS2,2007.0,Misc,Activision,3.49,0.01,0.01,1.48,4.98,Guitar Hero III: Legends of Rock,85.0,69.0,8.1,199.0,Guitar Hero,1,4,1
209,Fallout 3,X360,2008.0,Role-Playing,Bethesda Softworks,3.39,1.03,0.09,0.44,4.96,Fallout 3,91.0,48.0,7.8,4679.0,,1,4,0
211,Uncharted: Drake's Fortune,PS3,2007.0,Action,Sony Computer Entertainment,2.31,1.73,0.12,0.78,4.94,Uncharted: Drake's Fortune,88.0,66.0,7.9,3577.0,Uncharted,1,4,1
212,Madden NFL 06,PS2,2005.0,Sports,Electronic Arts,3.98,0.26,0.01,0.66,4.91,Madden NFL 06,88.0,29.0,8.0,128.0,Madden NFL,1,4,1
213,LEGO Star Wars: The Complete Saga,DS,2007.0,Action,LucasArts,2.89,1.54,0.0,0.46,4.9,LEGO Star Wars: The Complete Saga,80.0,24.0,7.9,218.0,Lego Star Wars,1,4,1
214,Diddy Kong Racing,N64,1997.0,Racing,Nintendo,2.91,0.99,0.89,0.1,4.88,Diddy Kong Racing,88.0,15.0,8.5,187.0,Donkey Kong,1,4,1
216,Dr. Mario,NES,1990.0,Puzzle,Nintendo,2.62,0.6,1.52,0.1,4.85,Dr. Mario 64,71.0,13.0,7.5,18.0,,1,3,0
217,God of War III,PS3,2010.0,Action,Sony Computer Entertainment,2.74,1.36,0.12,0.63,4.84,God of War III Remastered,81.0,67.0,8.2,1297.0,,1,4,0
219,Assassin's Creed,PS3,2007.0,Adventure,Ubisoft,1.91,2.0,0.09,0.83,4.83,Assassin's Creed Valhalla,80.0,50.0,7.2,2432.0,,1,4,0
220,FIFA 15,PS3,2014.0,Sports,Electronic Arts,0.57,3.14,0.04,1.07,4.82,FIFA 15,2.0,2.0,4.7,130.0,FIFA,1,1,1
221,Crash Team Racing,PS,1999.0,Racing,Sony Computer Entertainment,2.57,1.57,0.44,0.21,4.79,Crash Team Racing: Nitro-Fueled,83.0,75.0,,,Crash Bandicoot,1,4,1
222,FIFA 17,PS4,2016.0,Sports,Electronic Arts,0.28,3.75,0.06,0.69,4.77,FIFA 17,85.0,42.0,5.0,911.0,FIFA,1,4,1
223,Batman: Arkham City,X360,2011.0,Action,Warner Bros. Interactive Entertainment,2.99,1.31,0.04,0.41,4.76,Batman: Arkham City,96.0,42.0,8.8,2978.0,Batman: Arkham,1,4,1
224,Driver 2,PS,2000.0,Action,Atari,2.36,2.1,0.02,0.25,4.73,Driver 2,62.0,14.0,7.7,144.0,Driver,1,3,1
225,The Simpsons: Hit & Run,PS2,2003.0,Racing,Vivendi Games,1.73,2.19,0.0,0.79,4.7,The Simpsons: Hit & Run,82.0,21.0,8.1,165.0,,1,4,0
226,Tony Hawk's Pro Skater 2,PS,2000.0,Sports,Activision,3.05,1.41,0.02,0.2,4.68,Tony Hawk's Pro Skater 2,98.0,19.0,7.4,725.0,Tony Hawk's,1,4,1
227,Animal Crossing: City Folk,Wii,2008.0,Simulation,Nintendo,1.87,1.12,1.32,0.37,4.68,Animal Crossing: City Folk,73.0,50.0,7.9,158.0,Animal Crossing,1,3,1
228,The Lord of the Rings: The Two Towers,PS2,2002.0,Action,Electronic Arts,1.94,1.95,0.08,0.7,4.67,The Lord of the Rings: The Two Towers,82.0,32.0,8.1,120.0,,1,4,0
229,Forza Motorsport 4,X360,2011.0,Racing,Microsoft Game Studios,2.08,2.04,0.06,0.47,4.64,Forza Motorsport 4,91.0,83.0,8.3,683.0,Forza,1,4,1
230,Tomb Raider,PS,1996.0,Action,Eidos Interactive,2.29,1.97,0.13,0.24,4.63,Tomb Raider,86.0,18.0,8.4,4640.0,"Tomb Raider II, Rise of the Tomb Raider, Tomb Raider: Curse of the Sword, Lara Croft and the Temple of Osiris",1,4,1
231,Guitar Hero III: Legends of Rock,Wii,2007.0,Misc,Activision,3.06,1.12,0.0,0.44,4.62,Guitar Hero III: Legends of Rock,85.0,69.0,8.1,199.0,Guitar Hero,1,4,1
232,The Legend of Zelda: A Link to the Past,SNES,1991.0,Action,Nintendo,2.42,0.91,1.15,0.13,4.61,The Legend of Zelda: A Link to the Past,95.0,30.0,9.0,582.0,The Legend of Zelda,1,4,1
233,The Legend of Zelda: The Wind Waker,GC,2002.0,Action,Nintendo,2.6,0.99,0.89,0.13,4.6,The Legend of Zelda: The Wind Waker,96.0,80.0,9.0,1465.0,,1,4,0
234,Mario & Sonic at the Olympic Winter Games,Wii,2009.0,Sports,Sega,1.89,1.99,0.22,0.48,4.58,Mario & Sonic at the Olympic Winter Games,72.0,55.0,7.5,65.0,Mario & Sonic at The Olympic Games,1,3,1
235,Luigi's Mansion: Dark Moon,3DS,2013.0,Action,Nintendo,1.78,1.39,1.1,0.3,4.58,Luigi's Mansion: Dark Moon,86.0,74.0,8.4,615.0,Luigi's Mansion,1,4,1
236,Splatoon,WiiU,2015.0,Shooter,Nintendo,1.55,1.15,1.44,0.43,4.57,Splatoon 2,83.0,100.0,8.4,1298.0,,1,4,0
237,The Last of Us,PS4,2014.0,Action,Sony Computer Entertainment,1.78,1.87,0.07,0.82,4.55,The Last of Us Part II,93.0,121.0,5.7,155662.0,,1,4,0
238,Guitar Hero III: Legends of Rock,X360,2007.0,Misc,Activision,3.19,0.92,0.01,0.42,4.53,Guitar Hero III: Legends of Rock,85.0,69.0,8.1,199.0,Guitar Hero,1,4,1
239,Madden NFL 2005,PS2,2004.0,Sports,Electronic Arts,4.18,0.26,0.01,0.08,4.53,Madden NFL 2005,91.0,30.0,8.0,84.0,Madden NFL,1,4,1
241,Madden NFL 07,PS2,2006.0,Sports,Electronic Arts,3.63,0.24,0.01,0.61,4.49,Madden NFL 07,84.0,29.0,8.2,44.0,Madden NFL,1,4,1
242,Spider-Man: The Movie,PS2,2002.0,Action,Activision,2.71,1.51,0.03,0.23,4.48,Spider-Man: The Movie,79.0,29.0,7.5,14.0,,1,4,0
244,Uncharted: The Nathan Drake Collection,PS4,2015.0,Action,Sony Computer Entertainment,1.96,1.69,0.08,0.74,4.47,Uncharted: The Nathan Drake Collection,86.0,78.0,8.5,2978.0,Uncharted,1,4,1
245,Call of Duty: Advanced Warfare,PS3,2014.0,Shooter,Activision,1.54,1.94,0.19,0.77,4.45,Call of Duty: Advanced Warfare,83.0,39.0,5.8,1684.0,Call of Duty,1,4,1
246,God of War,PS2,2005.0,Action,Sony Computer Entertainment,2.71,1.29,0.02,0.43,4.45,God of War,94.0,118.0,9.2,18724.0,,1,4,0
247,Nintendo Land,WiiU,2012.0,Misc,Nintendo,2.55,1.11,0.46,0.33,4.44,Nintendo Land,77.0,61.0,7.9,540.0,,1,4,0
249,Tony Hawk's Pro Skater 3,PS2,2001.0,Sports,Activision,2.66,1.29,0.01,0.46,4.41,Tony Hawk's Pro Skater 3,97.0,34.0,7.5,424.0,Tony Hawk's,1,4,1
250,Winning Eleven: Pro Evolution Soccer 2007,PS2,2006.0,Sports,Konami Digital Entertainment,0.1,2.39,1.05,0.86,4.39,Winning Eleven: Pro Evolution Soccer 2007,63.0,5.0,7.9,12.0,,1,3,0
251,The Elder Scrolls IV: Oblivion,X360,2006.0,Role-Playing,Take-Two Interactive,2.82,1.05,0.13,0.4,4.39,The Elder Scrolls IV: Oblivion,94.0,54.0,,,,1,4,0
252,Zelda II: The Adventure of Link,NES,1987.0,Adventure,Nintendo,2.19,0.5,1.61,0.08,4.38,Classic NES Series: Zelda II: The Adventure of Link,73.0,8.0,7.3,67.0,The Legend of Zelda,1,3,1
253,Need for Speed: Most Wanted,PS2,2005.0,Racing,Electronic Arts,2.03,1.79,0.08,0.47,4.37,Need for Speed: Most Wanted - A Criterion Game,78.0,14.0,4.5,953.0,Need for Speed,1,4,1
254,Resistance: Fall of Man,PS3,2006.0,Shooter,Sony Computer Entertainment,1.73,1.73,0.14,0.75,4.35,Resistance: Fall of Man,86.0,70.0,8.1,846.0,Resistance,1,4,1
255,Sonic the Hedgehog,GEN,1991.0,Platform,Sega,3.03,0.91,0.26,0.13,4.34,Sonic the Hedgehog,46.0,38.0,5.1,783.0,,1,2,0
256,Kingdom Hearts II,PS2,2005.0,Role-Playing,Square Enix,2.2,0.58,1.38,0.17,4.33,Kingdom Hearts II,87.0,64.0,9.0,1348.0,,1,4,0
257,FIFA 14,X360,2013.0,Sports,Electronic Arts,0.92,2.93,0.01,0.46,4.31,FIFA 14,87.0,26.0,6.3,728.0,FIFA,1,4,1
258,Call of Duty: Advanced Warfare,X360,2014.0,Shooter,Activision,2.75,1.18,0.0,0.37,4.31,Call of Duty: Advanced Warfare,83.0,39.0,5.8,1684.0,Call of Duty,1,4,1
259,Asteroids,2600,1980.0,Shooter,Atari,4.0,0.26,0.0,0.05,4.31,Asteroids,0.0,4.0,,,,1,0,0
260,Fable II,X360,2008.0,Role-Playing,Microsoft Game Studios,2.51,1.27,0.11,0.41,4.31,Fable II,89.0,95.0,6.6,2602.0,Fable,1,4,1
261,Halo 5: Guardians,XOne,2015.0,Shooter,Microsoft Game Studios,2.64,1.2,0.03,0.39,4.26,Halo 5: Guardians,84.0,101.0,6.4,3472.0,Halo,1,4,1
262,Super Mario 3D World,WiiU,2013.0,Platform,Nintendo,2.11,1.11,0.72,0.3,4.25,Super Mario 3D World + Bowser's Fury,89.0,120.0,8.6,500.0,Mario Series,1,4,1
263,Batman: Arkham Asylum,PS3,2009.0,Action,Eidos Interactive,2.23,1.34,0.07,0.61,4.25,Batman: Arkham Asylum,91.0,29.0,8.6,2591.0,Batman: Arkham,1,4,1
264,Assassin's Creed: Revelations,PS3,2011.0,Action,Ubisoft,1.41,2.02,0.1,0.72,4.24,Assassin's Creed: Revelations,80.0,20.0,7.5,1264.0,Assassin's Creed,1,4,1
265,Namco Museum,GBA,2001.0,Misc,Namco Bandai Games,3.0,1.11,0.05,0.07,4.24,Namco Museum,72.0,40.0,7.6,39.0,,1,3,0
266,Metal Gear Solid 3: Snake Eater,PS2,2004.0,Action,Konami Digital Entertainment,1.46,0.0,0.83,1.93,4.23,Metal Gear Solid 3: Snake Eater,91.0,68.0,9.1,1621.0,,1,4,0
267,Daxter,PSP,2006.0,Platform,Sony Computer Entertainment,2.45,1.02,0.0,0.75,4.22,Daxter,85.0,59.0,8.6,158.0,Jak and Daxter,1,4,1
268,Warcraft II: Tides of Darkness,PC,1995.0,Strategy,Activision,1.7,2.27,0.0,0.23,4.21,Warcraft II: Tides of Darkness,0.0,4.0,8.7,41.0,Warcraft,1,0,1
269,The Legend of Zelda: Ocarina of Time,3DS,2011.0,Action,Nintendo,2.03,1.27,0.62,0.3,4.21,The Legend of Zelda: Ocarina of Time,99.0,22.0,9.1,6477.0,The Legend of Zelda,1,4,1
270,FIFA Soccer 06,PS2,2005.0,Sports,Electronic Arts,0.78,2.55,0.04,0.84,4.21,FIFA Soccer 06,80.0,32.0,7.8,52.0,FIFA,1,4,1
272,Uncharted 4: A Thief's End,PS4,2016.0,Shooter,Sony Computer Entertainment,1.3,2.07,0.18,0.65,4.2,Uncharted 4: A Thief's End,93.0,113.0,8.8,15307.0,,1,4,0
273,Gran Turismo 5 Prologue,PS3,2007.0,Racing,Sony Computer Entertainment,1.28,1.83,0.57,0.53,4.2,Gran Turismo 5 Prologue,80.0,67.0,7.0,134.0,Gran Turismo,1,4,1
274,Assassin's Creed: Revelations,X360,2011.0,Action,Ubisoft,2.25,1.47,0.04,0.43,4.19,Assassin's Creed: Revelations,80.0,20.0,7.5,1264.0,Assassin's Creed,1,4,1
275,Street Fighter IV,PS3,2009.0,Fighting,Capcom,2.02,1.06,0.58,0.53,4.19,Street Fighter IV,94.0,61.0,7.4,398.0,Street Fighter,1,4,1
